coachella_sentiment,text
positive,#Coachella2015 tickets selling out in less than 40 minutes _Ù_¦_Ù___Ù___Ù÷_ÙÎµ_ÙÎµ_Ù___Ù_¦ http://t.co/SmoXyteIMJ
positive,RT @sudsybuddy: WAIT THIS IS ABSOLUTE FIRE _ÙÓ´_ÙÓ´_ÙÓ´ #Coachella2015 http://t.co/Ov2eCJtAvR
positive,#Coachella2015 #VIP passes secured! See you there bitchesssss
positive,PhillyÛªs @warondrugsjams will play #Coachella2015 &amp; #GovBall2015! Watch them on Jimmy Fallon: http://t.co/wzaAE5wYNT http://t.co/sFL9I5sD20
positive,If briana and her mom out to #Coachella2015  im out with them !!! _Ù÷Ý_Ù÷Ý_Ù÷Ý_ÙÕÄ
positive,"West side is the best side!
#west #coas #Coachella2015 http://t.co/BhasNazMMU"
positive,Coachella tickets are now sold out _Ù÷_ &amp; I had the opportunity to have bought them. I'm definitely going next year #Coachella2015 #Coachella
positive,#Coachella2015 I absolutely can NOT wait. This weekend is about to exceed EPIC EXPECTATIONS!!! :) Lineup is CRAZY!  http://t.co/7CQXKCprLH
positive,If someone got me to Coachella if be your friend for life #truth #desprate #Coachella2015 #Coachella http://t.co/MMDkTMOZfW
positive,RT @brownjenjen:  Õ http://t.co/mxCREvIlGP 712 Coachella 2015  Coachella 2015 makes space for rockers and ravers this year #Coachella2015 OhÛ_
positive,"RT @RogerCraigSmith: Dig these guys much! Can't wait to see them at #Coachella2015!
Two dudes creating incredible sounds.
@royalblooduk 
htÛ_"
positive,"ÛÏ@NickDevLV: Officially official. #Coachella2015 http://t.co/cWBx8jb2n7Û
Please someone get me to Coachella this year, so wanna go"
positive,See you there! #Coachella2015 @IDK_Chillin @gina__elizabeth @#TwiterlessNikki
positive,Son im really trynna go to #Coachella2015
positive,I just want to go to #Coachella2015 _Ù÷Ç_Ù_Á
positive,So we got tickets to #Coachella2015 x what is it!? _Ù÷_Ù÷ _Ù_¦_Ù___Ù_á_Ù_¼_Ù_ü_Ù___Ù_µ
positive,Can't wait until #Coachella this year. This will be my first time ever goin. Chyyeah!!! #Coachella2015 _ÙªÎ
positive,Just bought my #Coachella2015 tickets with @aylephant and Minh Do! I could already tell that 2015 is gonna be amazing!
positive,"RT @EricHoang_: Someone sell me one car camping pass for Coachella weekend 2, please. #Coachella #Coachella2015 #Coachellatickets"
positive,"April can't come any sooner _Ù÷__Ù÷__Ù÷_ 

#Coachella2015"
positive,Woot woot! #Coachella2015 _Ù_ä_Ù_ä
positive,"#coachella2015  What's the fuss about AC/DC heading the line-up? Leonard Cohen blew everyone away there a couple of years back, both great!"
positive,RT @TeamCamillaB: Hope to see @CamillaBelle in Coachella #Coachella2015!
positive,Prayer to #Coachella gods for #Coachella2015 #Coachellatickets someone sell me weekend 1 for face value please. Car camping too! Amen
positive,I see @nlapi is ready for #Coachella2015 #coachellaNICK
positive,Young DroCHELLA | #Coachella #Coachella2015 http://t.co/X0tIMlrjSH
positive,Got my tickets for #Coachella2015 stoked as fuck
positive,"I can't wait for ""and you shook me all night long"" at #Coachella2015"
positive,So HAPPY to announce that me and @NicolaBott have twins!!!! (tickets) #Coachella2015 http://t.co/83miyTqiff
positive,Super pumped for ACDC and Steely Dan #kickinitoldschoool #Coachella2015
positive,Just got news we're going to #Coachella2015
positive,LOL NVM YA BISH IS GOING TO #COACHELLA2015 #HALLELUJAH!!! http://t.co/kcLTkfhiiN
positive,"If I got a #Coachella2015 ticket, how much better does that make me than you? #KingOfTheWhitePeople"
positive,"I just got a casual text from my dad asking a simple question w/ an emoji ""what weekend were you thinking _Ù÷÷"" #Coachella2015åÀåÀåÀ @maderlife _ÙÕÄ"
positive,When you find out Coachella is in 3 months are your getting ready to find celebrities #Coachella2015 _ÙÎ_
positive,ITS OFFICIAL @nycbritt #Coachella2015   _ÙÕÝ_Ù_äÏ¬÷Ûü_ÙÔª_Ù_¦
positive,Just realized I'm off of work for #Coachella2015 weekend #2. I'M TOTALLY GOING!
positive,"ÛÏ@czechmayte: @Leetzle_ and I have our #Coachella2015 tickets... But now we need a place to camp bc tickets are sold out. Help us _Ù÷__Ù÷_Û

PLZZZ"
positive,RT @_kendallwood: The #Coachella2015 lineup from @CTooleSaysStuff is so colorful and honest: http://t.co/VVhQLmWzWu via @EliteDaily
positive,@Leetzle_ and I have our #Coachella2015 tickets... But now we need a place to camp bc tickets are sold out. Help us _Ù÷__Ù÷_
positive,RT @sierralkbabe: So psyched for #Coachella2015 with @HannahhRay _Ù÷
positive,RT @Jammit08: See in the dessert @Kyra_IX @sammyslammr !!!!!! #Coachella2015 #RoundThree #Excited #ItsAllHappening
positive,Can't wait for #Coachella2015  _ÙÔÉ_ÙÎÛ_ÙÔÉ
positive,The #Coachella2015 lineup from @CTooleSaysStuff is so colorful and honest: http://t.co/VVhQLmWzWu via @EliteDaily
positive,I need to go to #Coachella2015
